disease,pageid,url
Holoprosencephaly,232039,https://en.wikipedia.org/wiki/Holoprosencephaly
Holt–Oram syndrome,5434691,https://en.wikipedia.org/wiki/Holt–Oram_syndrome
Homocystinuria,662647,https://en.wikipedia.org/wiki/Homocystinuria
Horner's syndrome,1340251,https://en.wikipedia.org/wiki/Horner's_syndrome
Huntington's disease,47878,https://en.wikipedia.org/wiki/Huntington's_disease
Creatine,331221,https://en.wikipedia.org/wiki/Creatine
Glucagon-like peptide-1 receptor,9745239,https://en.wikipedia.org/wiki/Glucagon-like_peptide-1_receptor
Caudate nucleus,448244,https://en.wikipedia.org/wiki/Caudate_nucleus
Quinolinic acid,15648814,https://en.wikipedia.org/wiki/Quinolinic_acid
Epigenetic clock,40854066,https://en.wikipedia.org/wiki/Epigenetic_clock
Inositol trisphosphate,51596,https://en.wikipedia.org/wiki/Inositol_trisphosphate
Temporal dynamics of music and language,36560848,https://en.wikipedia.org/wiki/Temporal_dynamics_of_music_and_language
Memory disorder,3452485,https://en.wikipedia.org/wiki/Memory_disorder
Disgust,22499522,https://en.wikipedia.org/wiki/Disgust
Gene silencing,240850,https://en.wikipedia.org/wiki/Gene_silencing
Soluble NSF attachment protein,44844593,https://en.wikipedia.org/wiki/Soluble_NSF_attachment_protein
Glutamate receptor,2860161,https://en.wikipedia.org/wiki/Glutamate_receptor
Latrepirdine,11711372,https://en.wikipedia.org/wiki/Latrepirdine
Adult development,12947872,https://en.wikipedia.org/wiki/Adult_development
Folding@home,413102,https://en.wikipedia.org/wiki/Folding@home
Clinical neurochemistry,28972840,https://en.wikipedia.org/wiki/Clinical_neurochemistry
Environmental enrichment,20270864,https://en.wikipedia.org/wiki/Environmental_enrichment
Procedural memory,21312313,https://en.wikipedia.org/wiki/Procedural_memory
Progeria,205224,https://en.wikipedia.org/wiki/Progeria
Lamin,501125,https://en.wikipedia.org/wiki/Lamin
Evolution of ageing,5914541,https://en.wikipedia.org/wiki/Evolution_of_ageing
Tipifarnib,6806262,https://en.wikipedia.org/wiki/Tipifarnib
Hydranencephaly,232046,https://en.wikipedia.org/wiki/Hydranencephaly
Neural tube defect,3202774,https://en.wikipedia.org/wiki/Neural_tube_defect
Macrocephaly,232056,https://en.wikipedia.org/wiki/Macrocephaly
Brain size,3763482,https://en.wikipedia.org/wiki/Brain_size
Hyperekplexia,4467886,https://en.wikipedia.org/wiki/Hyperekplexia
Hyperemesis gravidarum,2184861,https://en.wikipedia.org/wiki/Hyperemesis_gravidarum
Complications of pregnancy,2300688,https://en.wikipedia.org/wiki/Complications_of_pregnancy
Ferritin,470107,https://en.wikipedia.org/wiki/Ferritin
Hyperlipidemia,1593643,https://en.wikipedia.org/wiki/Hyperlipidemia
Familial dysbetalipoproteinemia,22992227,https://en.wikipedia.org/wiki/Familial_dysbetalipoproteinemia
Hyperostosis frontalis interna,26294871,https://en.wikipedia.org/wiki/Hyperostosis_frontalis_interna
Morgagni Stewart Morel syndrome,26294846,https://en.wikipedia.org/wiki/Morgagni_Stewart_Morel_syndrome
Hypochondroplasia,2950938,https://en.wikipedia.org/wiki/Hypochondroplasia
Hypohidrotic ectodermal dysplasia,6701668,https://en.wikipedia.org/wiki/Hypohidrotic_ectodermal_dysplasia
Hypokalemia,972656,https://en.wikipedia.org/wiki/Hypokalemia
Electrolyte imbalance,904825,https://en.wikipedia.org/wiki/Electrolyte_imbalance
Potassium in biology,378912,https://en.wikipedia.org/wiki/Potassium_in_biology
Incontinentia pigmenti achromians,21315951,https://en.wikipedia.org/wiki/Incontinentia_pigmenti_achromians
Hypoparathyroidism,702308,https://en.wikipedia.org/wiki/Hypoparathyroidism
Parathyroid gland,291114,https://en.wikipedia.org/wiki/Parathyroid_gland
Parathyroid chief cell,608865,https://en.wikipedia.org/wiki/Parathyroid_chief_cell
Hypophosphatasia,2590704,https://en.wikipedia.org/wiki/Hypophosphatasia
Hypoplastic left heart syndrome,1797918,https://en.wikipedia.org/wiki/Hypoplastic_left_heart_syndrome
I-cell disease,5881306,https://en.wikipedia.org/wiki/I-cell_disease
Ichthyosis,612032,https://en.wikipedia.org/wiki/Ichthyosis
Ichthyosis vulgaris,617526,https://en.wikipedia.org/wiki/Ichthyosis_vulgaris
Ichthyosis linearis circumflexa,20728239,https://en.wikipedia.org/wiki/Ichthyosis_linearis_circumflexa
Idiopathic intracranial hypertension,25161,https://en.wikipedia.org/wiki/Idiopathic_intracranial_hypertension
Obesity-associated morbidity,21096979,https://en.wikipedia.org/wiki/Obesity-associated_morbidity
Idiopathic pulmonary fibrosis,8768565,https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis
Nintedanib,31693885,https://en.wikipedia.org/wiki/Nintedanib
Diagnostic delay,60873302,https://en.wikipedia.org/wiki/Diagnostic_delay
IgA nephropathy,724947,https://en.wikipedia.org/wiki/IgA_nephropathy
Igan,50442729,https://en.wikipedia.org/wiki/Igan
Plateletpheresis,1494752,https://en.wikipedia.org/wiki/Plateletpheresis
Imperforate anus,2224016,https://en.wikipedia.org/wiki/Imperforate_anus
Incontinentia pigmenti,1212374,https://en.wikipedia.org/wiki/Incontinentia_pigmenti
Infantile myofibromatosis,20855335,https://en.wikipedia.org/wiki/Infantile_myofibromatosis
Infective endocarditis,560154,https://en.wikipedia.org/wiki/Infective_endocarditis
Granulicatella adiacens,65921637,https://en.wikipedia.org/wiki/Granulicatella_adiacens
Antibiotic use in dentistry,52383375,https://en.wikipedia.org/wiki/Antibiotic_use_in_dentistry
Pericardial heart valves,26851461,https://en.wikipedia.org/wiki/Pericardial_heart_valves
Isovaleric acidemia,1793124,https://en.wikipedia.org/wiki/Isovaleric_acidemia
Asplenia with cardiovascular anomalies,5341544,https://en.wikipedia.org/wiki/Asplenia_with_cardiovascular_anomalies
Jackson–Weiss syndrome,3443488,https://en.wikipedia.org/wiki/Jackson–Weiss_syndrome
Craniosynostosis,1584059,https://en.wikipedia.org/wiki/Craniosynostosis
Jervell and Lange-Nielsen syndrome,1516079,https://en.wikipedia.org/wiki/Jervell_and_Lange-Nielsen_syndrome
Johanson–Blizzard syndrome,22519615,https://en.wikipedia.org/wiki/Johanson–Blizzard_syndrome
Joubert syndrome,56464,https://en.wikipedia.org/wiki/Joubert_syndrome
Smith–Fineman–Myers syndrome,25183696,https://en.wikipedia.org/wiki/Smith–Fineman–Myers_syndrome
Jumping Frenchmen of Maine,1045918,https://en.wikipedia.org/wiki/Jumping_Frenchmen_of_Maine
Juvenile hemochromatosis,17624270,https://en.wikipedia.org/wiki/Juvenile_hemochromatosis
Juvenile myelomonocytic leukemia,11231936,https://en.wikipedia.org/wiki/Juvenile_myelomonocytic_leukemia
Kabuki syndrome,799960,https://en.wikipedia.org/wiki/Kabuki_syndrome
Kallmann syndrome,1110898,https://en.wikipedia.org/wiki/Kallmann_syndrome
Kawasaki disease,1038491,https://en.wikipedia.org/wiki/Kawasaki_disease
KBG syndrome,57125347,https://en.wikipedia.org/wiki/KBG_syndrome
Birk-Barel syndrome,55933047,https://en.wikipedia.org/wiki/Birk-Barel_syndrome
Ohtahara syndrome,14435016,https://en.wikipedia.org/wiki/Ohtahara_syndrome
Spinal and bulbar muscular atrophy,2322108,https://en.wikipedia.org/wiki/Spinal_and_bulbar_muscular_atrophy
Kenny-Caffey syndrome,55933151,https://en.wikipedia.org/wiki/Kenny-Caffey_syndrome
Keratitis–ichthyosis–deafness syndrome,20794702,https://en.wikipedia.org/wiki/Keratitis–ichthyosis–deafness_syndrome
Keratoconus,252630,https://en.wikipedia.org/wiki/Keratoconus
George Thengummoottil,44948063,https://en.wikipedia.org/wiki/George_Thengummoottil
Keratolytic winter erythema,22828902,https://en.wikipedia.org/wiki/Keratolytic_winter_erythema
Keratomalacia,2955804,https://en.wikipedia.org/wiki/Keratomalacia
Keratosis follicularis,4878175,https://en.wikipedia.org/wiki/Keratosis_follicularis
Darier's disease,1013664,https://en.wikipedia.org/wiki/Darier's_disease
Keratosis follicularis spinulosa decalvans,20933049,https://en.wikipedia.org/wiki/Keratosis_follicularis_spinulosa_decalvans
Kernicterus,290448,https://en.wikipedia.org/wiki/Kernicterus
Hemolytic jaundice,67254051,https://en.wikipedia.org/wiki/Hemolytic_jaundice
Kleine–Levin syndrome,3763136,https://en.wikipedia.org/wiki/Kleine–Levin_syndrome
Klippel–Feil syndrome,1977327,https://en.wikipedia.org/wiki/Klippel–Feil_syndrome
AGGF1,15220116,https://en.wikipedia.org/wiki/AGGF1
Klüver–Bucy syndrome,4259210,https://en.wikipedia.org/wiki/Klüver–Bucy_syndrome
Social-emotional agnosia,34008216,https://en.wikipedia.org/wiki/Social-emotional_agnosia
Limbic system,200405,https://en.wikipedia.org/wiki/Limbic_system
Glossary of psychiatry,3318239,https://en.wikipedia.org/wiki/Glossary_of_psychiatry
Kniest dysplasia,2573848,https://en.wikipedia.org/wiki/Kniest_dysplasia
Kufor–Rakeb syndrome,29813755,https://en.wikipedia.org/wiki/Kufor–Rakeb_syndrome
L1 syndrome,48168760,https://en.wikipedia.org/wiki/L1_syndrome
MASA syndrome,869927,https://en.wikipedia.org/wiki/MASA_syndrome
Zimmermann–Laband syndrome,10811124,https://en.wikipedia.org/wiki/Zimmermann–Laband_syndrome
Lambert–Eaton myasthenic syndrome,18628,https://en.wikipedia.org/wiki/Lambert–Eaton_myasthenic_syndrome
Lamellar ichthyosis,617547,https://en.wikipedia.org/wiki/Lamellar_ichthyosis
Landau–Kleffner syndrome,2200457,https://en.wikipedia.org/wiki/Landau–Kleffner_syndrome
Developmental regression,41303128,https://en.wikipedia.org/wiki/Developmental_regression
Langerhans cell histiocytosis,1737814,https://en.wikipedia.org/wiki/Langerhans_cell_histiocytosis
Canine histiocytic diseases,28341621,https://en.wikipedia.org/wiki/Canine_histiocytic_diseases
Eosinophilic granuloma,7956308,https://en.wikipedia.org/wiki/Eosinophilic_granuloma
Letterer–Siwe disease,3921620,https://en.wikipedia.org/wiki/Letterer–Siwe_disease
Larsen syndrome,5266918,https://en.wikipedia.org/wiki/Larsen_syndrome
Spasmodic dysphonia,11178344,https://en.wikipedia.org/wiki/Spasmodic_dysphonia
Laurence–Moon syndrome,5191385,https://en.wikipedia.org/wiki/Laurence–Moon_syndrome
Leber congenital amaurosis,2707423,https://en.wikipedia.org/wiki/Leber_congenital_amaurosis
National Eye Institute,458424,https://en.wikipedia.org/wiki/National_Eye_Institute
Legg–Calvé–Perthes disease,295047,https://en.wikipedia.org/wiki/Legg–Calvé–Perthes_disease
Legionnaires' disease,41678169,https://en.wikipedia.org/wiki/Legionnaires'_disease
Cruise ship,314855,https://en.wikipedia.org/wiki/Cruise_ship
Windshield washer fluid,4447894,https://en.wikipedia.org/wiki/Windshield_washer_fluid
Cooling tower,750772,https://en.wikipedia.org/wiki/Cooling_tower
Leigh syndrome,558596,https://en.wikipedia.org/wiki/Leigh_syndrome
MT-ATP6,14179793,https://en.wikipedia.org/wiki/MT-ATP6
SURF1,14777875,https://en.wikipedia.org/wiki/SURF1
SERAC1,36537920,https://en.wikipedia.org/wiki/SERAC1
Formylation,5101344,https://en.wikipedia.org/wiki/Formylation
Leiomyosarcoma,2134495,https://en.wikipedia.org/wiki/Leiomyosarcoma
Leishmaniasis,198491,https://en.wikipedia.org/wiki/Leishmaniasis
Visceral leishmaniasis,2930584,https://en.wikipedia.org/wiki/Visceral_leishmaniasis
Cutaneous leishmaniasis,2798373,https://en.wikipedia.org/wiki/Cutaneous_leishmaniasis
Neglected tropical diseases,6090525,https://en.wikipedia.org/wiki/Neglected_tropical_diseases
Miltefosine,6803333,https://en.wikipedia.org/wiki/Miltefosine
Lutzomyia,2189559,https://en.wikipedia.org/wiki/Lutzomyia
Refugee health,19064373,https://en.wikipedia.org/wiki/Refugee_health
Transfusion transmitted infection,17734536,https://en.wikipedia.org/wiki/Transfusion_transmitted_infection
Lennox–Gastaut syndrome,2191954,https://en.wikipedia.org/wiki/Lennox–Gastaut_syndrome
Lamotrigine,356050,https://en.wikipedia.org/wiki/Lamotrigine
Spike-and-wave,16074501,https://en.wikipedia.org/wiki/Spike-and-wave
Lenz microphthalmia syndrome,34262177,https://en.wikipedia.org/wiki/Lenz_microphthalmia_syndrome
Donohue syndrome,33786701,https://en.wikipedia.org/wiki/Donohue_syndrome
Leprosy,44700,https://en.wikipedia.org/wiki/Leprosy
Hydnocarpus wightianus,30530782,https://en.wikipedia.org/wiki/Hydnocarpus_wightianus
Leptospirosis,649760,https://en.wikipedia.org/wiki/Leptospirosis
Manoa Falls,8008615,https://en.wikipedia.org/wiki/Manoa_Falls
Globalization and disease,8430768,https://en.wikipedia.org/wiki/Globalization_and_disease
Dairy farming in New Zealand,24443459,https://en.wikipedia.org/wiki/Dairy_farming_in_New_Zealand
Neil Carter (The Archers),59720556,https://en.wikipedia.org/wiki/Neil_Carter_(The_Archers)
Joseph Vinetz,67953633,https://en.wikipedia.org/wiki/Joseph_Vinetz
Beef cattle vaccination in Australia,60983657,https://en.wikipedia.org/wiki/Beef_cattle_vaccination_in_Australia
Karl Friedrich Meyer,24244175,https://en.wikipedia.org/wiki/Karl_Friedrich_Meyer
Feline zoonosis,52390011,https://en.wikipedia.org/wiki/Feline_zoonosis
Leri pleonosteosis,41701346,https://en.wikipedia.org/wiki/Leri_pleonosteosis
Lesch–Nyhan syndrome,1115749,https://en.wikipedia.org/wiki/Lesch–Nyhan_syndrome
Uric acid,31736,https://en.wikipedia.org/wiki/Uric_acid
J. Edwin Seegmiller,8148446,https://en.wikipedia.org/wiki/J._Edwin_Seegmiller
Leukodystrophy,1997086,https://en.wikipedia.org/wiki/Leukodystrophy
Li–Fraumeni syndrome,1009951,https://en.wikipedia.org/wiki/Li–Fraumeni_syndrome
Lichen planus,903430,https://en.wikipedia.org/wiki/Lichen_planus
Lichen sclerosus,1175839,https://en.wikipedia.org/wiki/Lichen_sclerosus
Liposarcoma,1386912,https://en.wikipedia.org/wiki/Liposarcoma
Eribulin,15623623,https://en.wikipedia.org/wiki/Eribulin
Lipoblast,26999638,https://en.wikipedia.org/wiki/Lipoblast
Lissencephaly,232048,https://en.wikipedia.org/wiki/Lissencephaly
Gyrification,20850385,https://en.wikipedia.org/wiki/Gyrification
Neurotubule,60189549,https://en.wikipedia.org/wiki/Neurotubule
Development of the cerebral cortex,37688556,https://en.wikipedia.org/wiki/Development_of_the_cerebral_cortex
Reelin,62810,https://en.wikipedia.org/wiki/Reelin
Listeriosis,885739,https://en.wikipedia.org/wiki/Listeriosis
Locked-in syndrome,157052,https://en.wikipedia.org/wiki/Locked-in_syndrome
Disorders of consciousness,31315770,https://en.wikipedia.org/wiki/Disorders_of_consciousness
Central nervous system disease,17681122,https://en.wikipedia.org/wiki/Central_nervous_system_disease
Long QT syndrome,363747,https://en.wikipedia.org/wiki/Long_QT_syndrome
Romano–Ward syndrome,1557064,https://en.wikipedia.org/wiki/Romano–Ward_syndrome
Oculocerebrorenal syndrome,5219308,https://en.wikipedia.org/wiki/Oculocerebrorenal_syndrome
Lymphangioleiomyomatosis,1721174,https://en.wikipedia.org/wiki/Lymphangioleiomyomatosis
Cystic hygroma,4273701,https://en.wikipedia.org/wiki/Cystic_hygroma
Microcystic lymphatic malformation,28687960,https://en.wikipedia.org/wiki/Microcystic_lymphatic_malformation
Lymphangioma,3063000,https://en.wikipedia.org/wiki/Lymphangioma
Lymphangioma circumscriptum,20782899,https://en.wikipedia.org/wiki/Lymphangioma_circumscriptum
Lymphangiomatosis,7246362,https://en.wikipedia.org/wiki/Lymphangiomatosis
Lymphedema–distichiasis syndrome,6612673,https://en.wikipedia.org/wiki/Lymphedema–distichiasis_syndrome
Lymphomatoid granulomatosis,8030249,https://en.wikipedia.org/wiki/Lymphomatoid_granulomatosis
Diffuse large B-cell lymphoma,5646279,https://en.wikipedia.org/wiki/Diffuse_large_B-cell_lymphoma
Infantile free sialic acid storage disease,20424337,https://en.wikipedia.org/wiki/Infantile_free_sialic_acid_storage_disease
Salla disease,2562618,https://en.wikipedia.org/wiki/Salla_disease
Kifunensine,40123041,https://en.wikipedia.org/wiki/Kifunensine
Machado–Joseph disease,2356186,https://en.wikipedia.org/wiki/Machado–Joseph_disease
Macroglossia,1965394,https://en.wikipedia.org/wiki/Macroglossia
Oral and maxillofacial pathology,17584743,https://en.wikipedia.org/wiki/Oral_and_maxillofacial_pathology
Benign symmetric lipomatosis,24260052,https://en.wikipedia.org/wiki/Benign_symmetric_lipomatosis
Maffucci syndrome,6898708,https://en.wikipedia.org/wiki/Maffucci_syndrome
Mal de debarquement,362417,https://en.wikipedia.org/wiki/Mal_de_debarquement
Malaria,20423,https://en.wikipedia.org/wiki/Malaria
Chloroquine,1570321,https://en.wikipedia.org/wiki/Chloroquine
Eradication of infectious diseases,14499186,https://en.wikipedia.org/wiki/Eradication_of_infectious_diseases
Primaquine,1698504,https://en.wikipedia.org/wiki/Primaquine
Tu Youyou,33065882,https://en.wikipedia.org/wiki/Tu_Youyou
Sulfadoxine/pyrimethamine,32930594,https://en.wikipedia.org/wiki/Sulfadoxine/pyrimethamine
Tropical medicine,1072877,https://en.wikipedia.org/wiki/Tropical_medicine
Blood smear,441197,https://en.wikipedia.org/wiki/Blood_smear
Rebecca Akufo-Addo,37854450,https://en.wikipedia.org/wiki/Rebecca_Akufo-Addo
Recrudescence,2098836,https://en.wikipedia.org/wiki/Recrudescence
Malignant hyperthermia,722421,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Suxamethonium chloride,175719,https://en.wikipedia.org/wiki/Suxamethonium_chloride
Mallory–Weiss syndrome,1010536,https://en.wikipedia.org/wiki/Mallory–Weiss_syndrome
Mandibuloacral dysplasia,21703727,https://en.wikipedia.org/wiki/Mandibuloacral_dysplasia
Mantle cell lymphoma,13760802,https://en.wikipedia.org/wiki/Mantle_cell_lymphoma
Lenalidomide,1895805,https://en.wikipedia.org/wiki/Lenalidomide
Maple syrup urine disease,1793178,https://en.wikipedia.org/wiki/Maple_syrup_urine_disease
Protein (nutrient),6531493,https://en.wikipedia.org/wiki/Protein_(nutrient)
Marcus Gunn phenomenon,7646592,https://en.wikipedia.org/wiki/Marcus_Gunn_phenomenon
Marden–Walker syndrome,18321789,https://en.wikipedia.org/wiki/Marden–Walker_syndrome
Marfan syndrome,45475,https://en.wikipedia.org/wiki/Marfan_syndrome
Pleiotropy,1505283,https://en.wikipedia.org/wiki/Pleiotropy
Transforming growth factor beta,2901165,https://en.wikipedia.org/wiki/Transforming_growth_factor_beta
Fibrillin 1,14076409,https://en.wikipedia.org/wiki/Fibrillin_1
Health of Abraham Lincoln,24665596,https://en.wikipedia.org/wiki/Health_of_Abraham_Lincoln
Microfibril,2784383,https://en.wikipedia.org/wiki/Microfibril
Marinesco–Sjögren syndrome,21704549,https://en.wikipedia.org/wiki/Marinesco–Sjögren_syndrome
Maroteaux–Lamy syndrome,6701888,https://en.wikipedia.org/wiki/Maroteaux–Lamy_syndrome
Marshall–Smith syndrome,14200775,https://en.wikipedia.org/wiki/Marshall–Smith_syndrome
Marshall syndrome,21381309,https://en.wikipedia.org/wiki/Marshall_syndrome
Mastocytosis,146641,https://en.wikipedia.org/wiki/Mastocytosis
Histopathologic diagnosis of dermatitis,62286836,https://en.wikipedia.org/wiki/Histopathologic_diagnosis_of_dermatitis
May–Hegglin anomaly,9920680,https://en.wikipedia.org/wiki/May–Hegglin_anomaly
McCune–Albright syndrome,3290998,https://en.wikipedia.org/wiki/McCune–Albright_syndrome
Cartilage–hair hypoplasia,3076988,https://en.wikipedia.org/wiki/Cartilage–hair_hypoplasia
Allan–Herndon–Dudley syndrome,11233375,https://en.wikipedia.org/wiki/Allan–Herndon–Dudley_syndrome
Measles,58911,https://en.wikipedia.org/wiki/Measles
Social history of viruses,29802394,https://en.wikipedia.org/wiki/Social_history_of_viruses
Meckel–Gruber syndrome,9446925,https://en.wikipedia.org/wiki/Meckel–Gruber_syndrome
MECP2 duplication syndrome,47955301,https://en.wikipedia.org/wiki/MECP2_duplication_syndrome
Median arcuate ligament syndrome,22064400,https://en.wikipedia.org/wiki/Median_arcuate_ligament_syndrome
Medium-chain acyl-coenzyme A dehydrogenase deficiency,552577,https://en.wikipedia.org/wiki/Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency
Medullary sponge kidney,13083303,https://en.wikipedia.org/wiki/Medullary_sponge_kidney
Medulloblastoma,3994623,https://en.wikipedia.org/wiki/Medulloblastoma
Cyclin-dependent kinase 6,9880209,https://en.wikipedia.org/wiki/Cyclin-dependent_kinase_6
Macrocephaly-capillary malformation,27153190,https://en.wikipedia.org/wiki/Macrocephaly-capillary_malformation
Pre-replication complex,619178,https://en.wikipedia.org/wiki/Pre-replication_complex
Melanoma,716631,https://en.wikipedia.org/wiki/Melanoma
Nivolumab,35007537,https://en.wikipedia.org/wiki/Nivolumab
Ipilimumab,9132492,https://en.wikipedia.org/wiki/Ipilimumab
Vulvar cancer,7428996,https://en.wikipedia.org/wiki/Vulvar_cancer
Tremelimumab,9133652,https://en.wikipedia.org/wiki/Tremelimumab
MELAS syndrome,3713191,https://en.wikipedia.org/wiki/MELAS_syndrome
Mitochondrial myopathy,2858614,https://en.wikipedia.org/wiki/Mitochondrial_myopathy
Encephalopathy,392001,https://en.wikipedia.org/wiki/Encephalopathy
Meleda disease,2111995,https://en.wikipedia.org/wiki/Meleda_disease
Melkersson–Rosenthal syndrome,3730598,https://en.wikipedia.org/wiki/Melkersson–Rosenthal_syndrome
Facial nerve decompression,47572177,https://en.wikipedia.org/wiki/Facial_nerve_decompression
Orofacial granulomatosis,7454606,https://en.wikipedia.org/wiki/Orofacial_granulomatosis
Melnick–Needles syndrome,38658285,https://en.wikipedia.org/wiki/Melnick–Needles_syndrome
Melorheostosis,14851924,https://en.wikipedia.org/wiki/Melorheostosis
Ménière's disease,55994,https://en.wikipedia.org/wiki/Ménière's_disease
Count Vertigo,1526433,https://en.wikipedia.org/wiki/Count_Vertigo
Righting reflex,31209304,https://en.wikipedia.org/wiki/Righting_reflex
Endolymphatic hydrops,13184239,https://en.wikipedia.org/wiki/Endolymphatic_hydrops
Meningioma,1021254,https://en.wikipedia.org/wiki/Meningioma
Crown (anatomy),1885529,https://en.wikipedia.org/wiki/Crown_(anatomy)
Falx cerebri,2503646,https://en.wikipedia.org/wiki/Falx_cerebri
Sunitinib,3864175,https://en.wikipedia.org/wiki/Sunitinib
Meningitis,21009963,https://en.wikipedia.org/wiki/Meningitis
Neonatal meningitis,34516680,https://en.wikipedia.org/wiki/Neonatal_meningitis
Enterococcus,191192,https://en.wikipedia.org/wiki/Enterococcus
Procalcitonin,700550,https://en.wikipedia.org/wiki/Procalcitonin
PATH (global health organization),8271030,https://en.wikipedia.org/wiki/PATH_(global_health_organization)
Door handle bacteria,52237093,https://en.wikipedia.org/wiki/Door_handle_bacteria
Alpha-mannosidosis,991454,https://en.wikipedia.org/wiki/Alpha-mannosidosis
Mannosidosis,3403088,https://en.wikipedia.org/wiki/Mannosidosis
Mannosidase,16785384,https://en.wikipedia.org/wiki/Mannosidase
Alport syndrome,729746,https://en.wikipedia.org/wiki/Alport_syndrome
Alström syndrome,5473657,https://en.wikipedia.org/wiki/Alström_syndrome
Alternating hemiplegia of childhood,7202374,https://en.wikipedia.org/wiki/Alternating_hemiplegia_of_childhood
Alveolar capillary dysplasia,24862962,https://en.wikipedia.org/wiki/Alveolar_capillary_dysplasia
Alveolar soft part sarcoma,7463941,https://en.wikipedia.org/wiki/Alveolar_soft_part_sarcoma
Hypersensitivity pneumonitis,2303500,https://en.wikipedia.org/wiki/Hypersensitivity_pneumonitis
Ameloblastic carcinoma,47901887,https://en.wikipedia.org/wiki/Ameloblastic_carcinoma
Ameloblastoma,2020081,https://en.wikipedia.org/wiki/Ameloblastoma
Adamantinoma,8440461,https://en.wikipedia.org/wiki/Adamantinoma
Odontogenic tumor,21991614,https://en.wikipedia.org/wiki/Odontogenic_tumor
Amelogenesis imperfecta,30864459,https://en.wikipedia.org/wiki/Amelogenesis_imperfecta
Acrania,14070703,https://en.wikipedia.org/wiki/Acrania
Amniotic fluid embolism,8788707,https://en.wikipedia.org/wiki/Amniotic_fluid_embolism
Obstetric labor complication,23242525,https://en.wikipedia.org/wiki/Obstetric_labor_complication
Amyloidosis,540034,https://en.wikipedia.org/wiki/Amyloidosis
AA amyloidosis,17780515,https://en.wikipedia.org/wiki/AA_amyloidosis
AL amyloidosis,17780511,https://en.wikipedia.org/wiki/AL_amyloidosis
Plasma cell dyscrasias,17475959,https://en.wikipedia.org/wiki/Plasma_cell_dyscrasias
Diflunisal,3315613,https://en.wikipedia.org/wiki/Diflunisal
Amyotrophic lateral sclerosis,19375577,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis
Pseudobulbar affect,3941742,https://en.wikipedia.org/wiki/Pseudobulbar_affect
Neurodegenerative disease,4464817,https://en.wikipedia.org/wiki/Neurodegenerative_disease
Gliosis,4694311,https://en.wikipedia.org/wiki/Gliosis
Riluzole,1252019,https://en.wikipedia.org/wiki/Riluzole
Hemiballismus,2217913,https://en.wikipedia.org/wiki/Hemiballismus
Onuf's nucleus,689764,https://en.wikipedia.org/wiki/Onuf's_nucleus
Choline acetyltransferase,622271,https://en.wikipedia.org/wiki/Choline_acetyltransferase
Mecasermin rinfabate,11274133,https://en.wikipedia.org/wiki/Mecasermin_rinfabate
Cystine/glutamate transporter,14817492,https://en.wikipedia.org/wiki/Cystine/glutamate_transporter
Low-affinity nerve growth factor receptor,5411159,https://en.wikipedia.org/wiki/Low-affinity_nerve_growth_factor_receptor
RIPK1,14726119,https://en.wikipedia.org/wiki/RIPK1
Avindra Nath,26057236,https://en.wikipedia.org/wiki/Avindra_Nath
Neuroepigenetics,51304858,https://en.wikipedia.org/wiki/Neuroepigenetics
Anaplastic astrocytoma,28618130,https://en.wikipedia.org/wiki/Anaplastic_astrocytoma
Andersen–Tawil syndrome,1557120,https://en.wikipedia.org/wiki/Andersen–Tawil_syndrome
Anemia of chronic disease,2363722,https://en.wikipedia.org/wiki/Anemia_of_chronic_disease
Autoimmune hemolytic anemia,3820402,https://en.wikipedia.org/wiki/Autoimmune_hemolytic_anemia
Anemia,83537,https://en.wikipedia.org/wiki/Anemia
Folate deficiency,5573286,https://en.wikipedia.org/wiki/Folate_deficiency
Tuberculous meningitis,4781088,https://en.wikipedia.org/wiki/Tuberculous_meningitis
Vaccination requirements for international travel,66002370,https://en.wikipedia.org/wiki/Vaccination_requirements_for_international_travel
Meningococcal disease,3868809,https://en.wikipedia.org/wiki/Meningococcal_disease
Menkes disease,1123733,https://en.wikipedia.org/wiki/Menkes_disease
Copper in health,29275214,https://en.wikipedia.org/wiki/Copper_in_health
Merkel-cell carcinoma,2554499,https://en.wikipedia.org/wiki/Merkel-cell_carcinoma
MERRF syndrome,5788696,https://en.wikipedia.org/wiki/MERRF_syndrome
Bone sarcoma,64717662,https://en.wikipedia.org/wiki/Bone_sarcoma
Mesothelioma,302454,https://en.wikipedia.org/wiki/Mesothelioma
Paul Kraus,38803893,https://en.wikipedia.org/wiki/Paul_Kraus
Cappadocia,79642,https://en.wikipedia.org/wiki/Cappadocia
Asbestos-related diseases,37923694,https://en.wikipedia.org/wiki/Asbestos-related_diseases
Occupational lung disease,4446738,https://en.wikipedia.org/wiki/Occupational_lung_disease
Metachromatic leukodystrophy,2189112,https://en.wikipedia.org/wiki/Metachromatic_leukodystrophy
Sulfatide,6021647,https://en.wikipedia.org/wiki/Sulfatide
Metaphyseal chondrodysplasia Schmid type,21549910,https://en.wikipedia.org/wiki/Metaphyseal_chondrodysplasia_Schmid_type
Mevalonate kinase deficiency,7761020,https://en.wikipedia.org/wiki/Mevalonate_kinase_deficiency
